#: table_doi: 10.17182/hepdata.46774.v1/t1
#: name: Table 1
#: description: The electromagnetic structure function, F2(C=EM), in NC DIS scattering at Q**2 from 2.7 to 30000 GeV**2.

#: data_file: Table1.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: F2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 300.0
#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],820.0
#: RE,E+ P --> E+ P
#: SQRT(S) [GeV],300.0,,,,
Q**2 [GEV**2],X,Y,F2(C=EM),stat +,stat -,sys +,sys -
150.0,0.021,0.079,0.66,0.013,-0.013,0.013,-0.013
150.0,0.032,0.052,0.573,0.014,-0.014,0.01,-0.01
150.0,0.05,0.033,0.515,0.011,-0.011,0.012,-0.012
150.0,0.08,0.021,0.431,0.009,-0.009,0.022,-0.022
150.0,0.18,0.009,0.326,0.009,-0.009,0.021,-0.021
200.0,0.0032,0.693,1.248,0.047,-0.047,0.04,-0.04
200.0,0.005,0.443,1.087,0.025,-0.025,0.023,-0.023
200.0,0.008,0.277,0.905,0.02,-0.02,0.016,-0.016
200.0,0.013,0.171,0.795,0.017,-0.017,0.012,-0.012
200.0,0.021,0.106,0.659,0.018,-0.018,0.012,-0.012
200.0,0.032,0.069,0.57,0.016,-0.016,0.011,-0.011
200.0,0.05,0.044,0.508,0.014,-0.014,0.012,-0.012
200.0,0.08,0.028,0.433,0.01,-0.01,0.012,-0.012
200.0,0.18,0.012,0.339,0.01,-0.01,0.013,-0.013
250.0,0.005,0.554,1.105,0.033,-0.033,0.032,-0.032
250.0,0.008,0.346,0.937,0.024,-0.024,0.016,-0.016
250.0,0.013,0.213,0.824,0.022,-0.022,0.015,-0.015
250.0,0.021,0.132,0.644,0.023,-0.023,0.012,-0.012
250.0,0.032,0.087,0.612,0.021,-0.021,0.014,-0.014
250.0,0.05,0.055,0.516,0.017,-0.017,0.009,-0.009
250.0,0.08,0.035,0.445,0.012,-0.012,0.023,-0.023
250.0,0.18,0.015,0.34,0.011,-0.011,0.019,-0.019
350.0,0.005,0.776,1.196,0.053,-0.053,0.042,-0.042
350.0,0.008,0.485,1.011,0.029,-0.029,0.021,-0.021
350.0,0.013,0.298,0.829,0.024,-0.024,0.014,-0.014
350.0,0.021,0.185,0.68,0.024,-0.024,0.013,-0.013
350.0,0.032,0.121,0.639,0.023,-0.023,0.013,-0.013
350.0,0.05,0.078,0.526,0.018,-0.018,0.01,-0.01
350.0,0.08,0.049,0.441,0.014,-0.014,0.011,-0.011
350.0,0.18,0.022,0.328,0.011,-0.011,0.005,-0.005
450.0,0.008,0.624,0.995,0.035,-0.035,0.024,-0.024
450.0,0.013,0.384,0.864,0.026,-0.026,0.015,-0.015
450.0,0.021,0.238,0.704,0.025,-0.025,0.011,-0.011
450.0,0.032,0.156,0.579,0.025,-0.025,0.01,-0.01
450.0,0.05,0.1,0.511,0.017,-0.017,0.008,-0.008
450.0,0.08,0.062,0.439,0.016,-0.016,0.01,-0.01
450.0,0.13,0.038,0.365,0.014,-0.014,0.008,-0.008
450.0,0.25,0.02,0.263,0.012,-0.012,0.02,-0.02
650.0,0.008,0.901,1.023,0.047,-0.047,0.033,-0.033
650.0,0.013,0.554,0.85,0.028,-0.028,0.016,-0.016
650.0,0.021,0.343,0.728,0.028,-0.028,0.012,-0.012
