#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],820.0
#: RE,E+ P --> E+ P
#: SQRT(S) [GeV],300.0,,,,
Q**2 [GEV**2],X,Y,SIG(C=REDUCED),stat +,stat -,sys +,sys -
650.0,0.05,0.144,0.475,0.02,-0.02,0.01,-0.01
650.0,0.08,0.09,0.456,0.018,-0.018,0.007,-0.007
650.0,0.13,0.055,0.357,0.015,-0.015,0.011,-0.011
650.0,0.25,0.029,0.25,0.012,-0.012,0.009,-0.009
650.0,0.4,0.018,0.152,0.014,-0.014,0.022,-0.022
800.0,0.013,0.682,0.847,0.038,-0.038,0.02,-0.02
800.0,0.021,0.422,0.665,0.05,-0.05,0.011,-0.011
800.0,0.032,0.277,0.647,0.032,-0.032,0.009,-0.009
800.0,0.05,0.177,0.451,0.023,-0.023,0.01,-0.01
800.0,0.08,0.111,0.42,0.024,-0.024,0.011,-0.011
800.0,0.13,0.068,0.37,0.019,-0.019,0.009,-0.009
800.0,0.25,0.035,0.26,0.015,-0.015,0.005,-0.005
800.0,0.4,0.022,0.114,0.013,-0.013,0.015,-0.015
1200.0,0.014,0.95,0.872,0.048,-0.048,0.025,-0.025
1200.0,0.021,0.634,0.681,0.035,-0.035,0.012,-0.012
1200.0,0.032,0.416,0.563,0.028,-0.028,0.011,-0.011
1200.0,0.05,0.266,0.49,0.023,-0.023,0.008,-0.008
1200.0,0.08,0.166,0.434,0.023,-0.023,0.007,-0.007
1200.0,0.13,0.102,0.336,0.019,-0.019,0.01,-0.01
1200.0,0.25,0.053,0.254,0.014,-0.014,0.005,-0.005
1200.0,0.4,0.033,0.149,0.012,-0.012,0.015,-0.015
1200.0,0.65,0.02,0.021,0.007,-0.007,0.005,-0.005
1500.0,0.021,0.792,0.666,0.053,-0.053,0.041,-0.041
1500.0,0.032,0.52,0.54,0.056,-0.056,0.011,-0.011
1500.0,0.05,0.333,0.518,0.03,-0.03,0.009,-0.009
1500.0,0.08,0.208,0.476,0.027,-0.027,0.012,-0.012
1500.0,0.13,0.128,0.301,0.036,-0.036,0.006,-0.006
1500.0,0.18,0.092,0.313,0.023,-0.023,0.018,-0.018
1500.0,0.25,0.067,0.27,0.023,-0.023,0.008,-0.008
1500.0,0.4,0.042,0.146,0.018,-0.018,0.02,-0.02
1500.0,0.65,0.026,0.012,0.004,-0.004,0.002,-0.002
2000.0,0.032,0.693,0.586,0.049,-0.049,0.02,-0.02
2000.0,0.05,0.443,0.476,0.035,-0.035,0.01,-0.01
2000.0,0.08,0.277,0.444,0.032,-0.032,0.009,-0.009
2000.0,0.13,0.171,0.34,0.028,-0.028,0.013,-0.013
2000.0,0.18,0.123,0.282,0.026,-0.026,0.007,-0.007
2000.0,0.25,0.089,0.234,0.024,-0.024,0.012,-0.012
2000.0,0.4,0.055,0.17,0.023,-0.023,0.017,-0.017
3000.0,0.05,0.665,0.542,0.047,-0.047,0.011,-0.011
3000.0,0.08,0.416,0.438,0.037,-0.037,0.01,-0.01
3000.0,0.13,0.256,0.325,0.045,-0.045,0.014,-0.014
3000.0,0.18,0.185,0.243,0.028,-0.028,0.009,-0.009
3000.0,0.25,0.133,0.193,0.034,-0.034,0.008,-0.008
3000.0,0.4,0.083,0.089,0.019,-0.019,0.008,-0.008
3000.0,0.65,0.051,0.016,0.005,-0.005,0.002,-0.002
5000.0,0.08,0.693,0.376,0.034,-0.034,0.01,-0.01
5000.0,0.13,0.426,0.284,0.033,-0.033,0.006,-0.006
5000.0,0.18,0.308,0.278,0.031,-0.031,0.014,-0.014
5000.0,0.25,0.222,0.223,0.029,-0.029,0.008,-0.008
5000.0,0.4,0.139,0.126,0.023,-0.023,0.007,-0.007
8000.0,0.13,0.682,0.241,0.035,-0.035,0.01,-0.01
8000.0,0.18,0.493,0.272,0.042,-0.042,0.015,-0.015
8000.0,0.25,0.355,0.199,0.036,-0.036,0.021,-0.021
8000.0,0.4,0.222,0.119,0.028,-0.028,0.008,-0.008
8000.0,0.65,0.136,0.036,0.011,-0.011,0.005,-0.005
12000.0,0.18,0.739,0.238,0.048,-0.048,0.009,-0.009
12000.0,0.25,0.532,0.172,0.045,-0.045,0.007,-0.007
12000.0,0.4,0.333,0.084,0.032,-0.032,0.003,-0.003
20000.0,0.25,0.887,0.161,0.057,-0.057,0.008,-0.008
20000.0,0.4,0.554,0.08,0.063,-0.063,0.011,-0.011
30000.0,0.4,0.831,0.039,0.09,-0.09,0.003,-0.003

